Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-03-14,31.18,31.39,30.9,31.18,9353041.0,0.0,1.0,29.464790312878,29.663238227109,29.200193093904,29.464790312878,9353041.0
2016-03-15,30.86,31.08,30.44,31.05,8983477.0,0.0,1.0,29.162393491194,29.370291306102,28.765497662733,29.341941604069,8983477.0
2016-03-16,30.83,31.76,30.83,31.69,9991902.0,0.0,1.0,29.134043789161,30.012884552181,29.134043789161,29.946735247438,9991902.0
2016-03-17,31.73,32.1,31.636,31.96,11294914.0,0.0,1.0,29.984534850148,30.334181175221,29.895705783779,30.201882565734,11294914.0
2016-03-18,32.08,32.38,31.91,31.96,15431567.0,0.0,1.0,30.315281373866,30.598778394195,30.154633062346,30.201882565734,15431567.0
2016-03-21,32.11,32.19,31.75,32.08,7396392.0,0.0,1.0,30.343631075899,30.41923028132,30.003434651504,30.315281373866,7396392.0
2016-03-22,32.08,32.21,31.76,31.9,8195286.0,0.0,1.0,30.315281373866,30.438130082675,30.012884552181,30.145183161668,8195286.0
2016-03-23,31.92,31.93,31.17,31.31,9105813.0,0.0,1.0,30.164082963024,30.173532863701,29.455340412201,29.587639021688,9105813.0
2016-03-24,30.88,30.97,30.39,30.96,12041022.0,0.0,1.0,29.181293292549,29.266342398648,28.718248159345,29.25689249797,12041022.0
2016-03-28,31.13,31.25,30.94,31.02,6109293.0,0.0,1.0,29.41754080949,29.530939617622,29.237992696615,29.313591902036,6109293.0
2016-03-29,31.04,31.28,30.58,31.19,13667755.0,0.0,1.0,29.332491703391,29.559289319655,28.89779627222,29.474240213556,13667755.0
2016-03-30,31.44,31.67,30.955,30.99,13377401.0,0.0,1.0,29.710487730497,29.927835446083,29.252167547631,29.285242200003,13377401.0
2016-03-31,31.01,31.59,31.0,31.43,10208995.0,0.0,1.0,29.304142001358,29.852236240662,29.294692100681,29.701037829819,10208995.0
2016-04-01,31.18,31.2,30.32,30.47,17418124.0,0.0,1.0,29.464790312878,29.483690114234,28.652098854601,28.793847364766,17418124.0
2016-04-04,30.4,30.48,29.75,29.9,12165972.0,0.0,1.0,28.727698060023,28.803297265444,28.113454515976,28.255203026141,12165972.0
2016-04-05,29.67,29.73,29.35,29.6,9101869.0,0.0,1.0,28.037855310555,28.094554714621,27.73545848887,27.971706005811,9101869.0
2016-04-06,29.66,29.95,29.3,29.94,9619877.0,0.0,1.0,28.028405409877,28.302452529529,27.688208985482,28.293002628851,9619877.0
2016-04-07,29.85,29.95,29.18,29.42,12864618.0,0.0,1.0,28.207953522752,28.302452529529,27.574810177351,27.801607793614,12864618.0
2016-04-08,29.67,29.76,29.23,29.37,8842431.0,0.0,1.0,28.037855310555,28.122904416654,27.622059680739,27.754358290226,8842431.0
2016-04-11,29.49,30.04,29.48,29.53,8864568.0,0.0,1.0,27.867757098357,28.387501635628,27.85830719768,27.905556701068,8864568.0
2016-04-12,29.56,29.77,29.27,29.71,11214445.0,0.0,1.0,27.933906403101,28.132354317331,27.659859283449,28.075654913265,11214445.0
2016-04-13,30.01,30.87,29.94,30.78,11076770.0,0.0,1.0,28.359151933595,29.171843391872,28.293002628851,29.086794285773,11076770.0
2016-04-14,30.84,31.05,30.64,30.72,8198645.0,0.0,1.0,29.143493689839,29.341941604069,28.954495676286,29.030094881707,8198645.0
2016-04-15,30.68,30.85,30.405,30.56,8260763.0,0.0,1.0,28.992295278996,29.152943590516,28.732423010361,28.878896470865,8260763.0
2016-04-18,30.76,31.37,30.61,31.31,15741996.0,0.0,1.0,29.067894484418,29.644338425753,28.926145974253,29.587639021688,15741996.0
2016-04-19,31.65,32.16,31.6102,31.97,14407757.0,0.0,1.0,29.908935644727,30.390880579287,29.87132504003,30.211332466412,14407757.0
2016-04-20,32.0,32.41,32.0,32.19,12910452.0,0.0,1.0,30.239682168445,30.627128096228,30.239682168445,30.41923028132,12910452.0
2016-04-21,33.18,33.41,32.47,32.66,22791998.0,0.0,1.0,31.354770448406,31.572118163992,30.683827500294,30.863375613169,22791998.0
2016-04-22,32.66,32.79,32.12,32.18,13824407.0,0.0,1.0,30.863375613169,30.986224321978,30.353080976576,30.409780380642,13824407.0
2016-04-25,32.09,32.11,31.6,31.95,10604845.0,0.0,1.0,30.324731274543,30.343631075899,29.861686141339,30.192432665057,10604845.0
2016-04-26,32.0,32.3,31.93,32.19,8700790.0,0.0,1.0,30.239682168445,30.523179188774,30.173532863701,30.41923028132,8700790.0
2016-04-27,32.18,32.29,31.99,32.16,6711311.0,0.0,1.0,30.409780380642,30.513729288096,30.230232267767,30.390880579287,6711311.0
2016-04-28,31.97,32.73,31.73,32.44,13442016.0,0.0,1.0,30.211332466412,30.929524917912,29.984534850148,30.655477798261,13442016.0
2016-04-29,32.35,32.35,31.52,31.8,12532438.0,0.0,1.0,30.570428692162,30.570428692162,29.786086935918,30.050684154892,12532438.0
2016-05-02,32.05,32.12,31.7262,31.75,9794022.0,0.0,1.0,30.286931671833,30.353080976576,29.980943887891,30.003434651504,9794022.0
2016-05-03,31.57,31.6,30.665,31.25,15044344.0,0.0,1.0,29.833336439306,29.861686141339,28.97812042798,29.530939617622,15044344.0
2016-05-04,31.0,31.085,30.42,30.59,13708150.0,0.0,1.0,29.294692100681,29.375016256441,28.746597861378,28.907246172898,13708150.0
2016-05-05,30.79,30.81,30.3,30.54,10381903.0,0.0,1.0,29.09624418645,29.115143987806,28.633199053246,28.859996669509,10381903.0
2016-05-06,30.73,31.11,30.56,30.96,11427553.0,0.0,1.0,29.039544782385,29.398641008135,28.878896470865,29.25689249797,11427553.0
2016-05-09,31.0,31.07,30.54,30.78,8126275.0,0.0,1.0,29.294692100681,29.360841405424,28.859996669509,29.086794285773,8126275.0
2016-05-10,30.9,31.365,30.84,31.35,9184470.0,0.0,1.0,29.200193093904,29.639613475415,29.143493689839,29.625438624398,9184470.0
2016-05-11,31.32,31.46,31.0,31.08,8538025.0,0.0,1.0,29.597088922365,29.729387531852,29.294692100681,29.370291306102,8538025.0
2016-05-12,31.2,31.37,30.75,31.18,9411111.0,0.0,1.0,29.483690114234,29.644338425753,29.05844458374,29.464790312878,9411111.0
2016-05-13,30.87,31.285,30.37,30.52,10562575.0,0.0,1.0,29.171843391872,29.564014269994,28.69934835799,28.841096868154,10562575.0
2016-05-16,30.5,30.98,30.5,30.67,17749489.0,0.0,1.0,28.822197066799,29.275792299326,28.822197066799,28.982845378319,17749489.0
2016-05-17,30.4,30.775,30.28,30.63,9541781.0,0.0,1.0,28.727698060023,29.082069335434,28.614299251891,28.945045775608,9541781.0
