date,close
2014-11-20,32.13
2014-11-21,32.13
2014-11-24,32.19
2014-11-25,32.23
2014-11-26,32.07
2014-11-28,33.43
2014-12-01,32.94
2014-12-02,33.26
2014-12-03,33.64
2014-12-04,33.09
2014-12-05,33.93
2014-12-08,32.68
2014-12-09,32.81
2014-12-10,31.97
2014-12-11,32.19
2014-12-12,31.57
2014-12-15,31.0
2014-12-16,30.73
2014-12-17,31.15
2014-12-18,31.75
2014-12-19,32.81
2014-12-22,33.23
2014-12-23,33.56
2014-12-24,33.43
2014-12-26,33.73
2014-12-29,34.6
2014-12-30,35.09
2014-12-31,34.91
2015-01-02,34.84
2015-01-05,34.33
2015-01-06,34.85
2015-01-07,35.84
2015-01-08,36.2
2015-01-09,35.59
2015-01-12,35.84
2015-01-13,35.25
2015-01-14,34.3
2015-01-15,33.43
2015-01-16,33.68
2015-01-20,33.93
2015-01-21,33.89
2015-01-22,33.82
2015-01-23,33.75
2015-01-26,33.7
2015-01-27,33.42
2015-01-28,32.84
2015-01-29,33.16
2015-01-30,32.62
2015-02-02,33.11
2015-02-03,33.98
2015-02-04,35.83
2015-02-05,36.25
2015-02-06,36.0
2015-02-09,36.0
2015-02-10,37.52
2015-02-11,37.67
2015-02-12,38.02
2015-02-13,37.62
2015-02-17,37.24
2015-02-18,37.19
2015-02-19,37.51
2015-02-20,37.65
2015-02-23,37.69
2015-02-24,37.75
2015-02-25,37.86
2015-02-26,37.56
2015-02-27,37.31
2015-03-02,37.61
2015-03-03,37.8
2015-03-04,37.57
2015-03-05,37.61
2015-03-06,36.84
2015-03-09,37.66
2015-03-10,37.55
2015-03-11,37.78
2015-03-12,38.43
2015-03-13,38.05
2015-03-16,38.58
2015-03-17,38.29
2015-03-18,38.5
2015-03-19,38.65
2015-03-20,38.87
2015-03-23,38.59
2015-03-24,37.85
2015-03-25,37.38
2015-03-26,37.35
2015-03-27,37.31
2015-03-30,37.68
2015-03-31,37.5
2015-04-01,36.74
2015-04-02,36.5
2015-04-06,36.66
2015-04-07,35.73
2015-04-08,36.11
2015-04-09,36.29
2015-04-10,36.57
2015-04-13,36.4
2015-04-14,36.48
2015-04-15,36.94
2015-04-16,37.08
2015-04-17,36.64
2015-04-20,37.11
2015-04-21,37.16
2015-04-22,37.16
2015-04-23,35.92
2015-04-24,35.59
2015-04-27,35.78
2015-04-28,35.72
2015-04-29,35.51
2015-04-30,35.06
2015-05-01,35.42
2015-05-04,35.4
2015-05-05,35.01
2015-05-06,34.77
2015-05-07,34.88
2015-05-08,35.32
2015-05-11,35.22
2015-05-12,34.74
2015-05-13,34.8
2015-05-14,34.65
2015-05-15,34.91
2015-05-18,35.05
2015-05-19,35.12
2015-05-20,35.02
2015-05-21,35.58
2015-05-22,35.7
2015-05-26,35.52
2015-05-27,35.81
2015-05-28,36.39
2015-05-29,35.97
2015-06-01,36.18
2015-06-02,36.22
2015-06-03,35.94
2015-06-04,35.54
2015-06-05,35.12
2015-06-08,34.99
2015-06-09,35.26
2015-06-10,35.59
2015-06-11,35.55
2015-06-12,35.71
2015-06-15,35.46
2015-06-16,35.61
2015-06-17,35.81
2015-06-18,36.2
2015-06-19,36.11
2015-06-22,36.19
2015-06-23,36.3
2015-06-24,35.16
2015-06-25,34.7
2015-06-26,34.38
2015-06-29,33.23
2015-06-30,33.33
2015-07-01,33.04
2015-07-02,33.23
2015-07-06,32.65
2015-07-07,32.86
2015-07-08,31.19
2015-07-09,31.01
2015-07-10,31.4
2015-07-13,31.68
2015-07-14,31.77
2015-07-15,31.43
2015-07-16,30.61
2015-07-17,30.65
2015-07-20,30.5
2015-07-21,30.39
2015-07-22,30.3
2015-07-23,31.5
2015-07-24,31.06
2015-07-27,31.05
2015-07-28,31.32
2015-07-29,31.95
2015-07-30,31.91
2015-07-31,31.51
2015-08-03,31.68
2015-08-04,31.52
2015-08-05,31.6
2015-08-06,31.86
2015-08-07,31.74
2015-08-10,31.94
2015-08-11,30.83
2015-08-12,30.87
2015-08-13,31.06
2015-08-14,31.49
2015-08-17,31.61
2015-08-18,31.71
2015-08-19,31.63
2015-08-20,30.84
2015-08-21,29.6
2015-08-24,27.8
2015-08-25,27.28
2015-08-26,28.1
2015-08-27,28.58
2015-08-28,29.0
2015-08-31,29.44
2015-09-01,28.64
2015-09-02,29.21
2015-09-03,29.11
2015-09-04,28.88
2015-09-08,29.88
2015-09-09,29.62
2015-09-10,30.0
2015-09-11,30.15
2015-09-14,30.72
2015-09-15,30.99
2015-09-16,31.2
2015-09-17,31.31
2015-09-18,30.51
2015-09-21,30.62
2015-09-22,30.03
2015-09-23,29.72
2015-09-24,29.44
2015-09-25,29.41
2015-09-28,28.56
2015-09-29,29.15
2015-09-30,30.02
2015-10-01,30.67
2015-10-02,31.73
2015-10-05,31.76
2015-10-06,32.22
2015-10-07,33.05
2015-10-08,33.43
2015-10-09,32.95
2015-10-12,33.02
